gold_id,customer_text_clean,semantic_intent,semantic_confidence,bert_predicted_intent,bert_confidence,gold_intent,review_notes
273,Wtf is I️ Apple .. I️ can’t post anything without looking like an idiot @115858,authentication_or_code,0.5153154,messaging_or_communication,0.40521508,battery_issue,Human reviewed
56,@AppleSupport iPhone 6 11.1,information_or_how_to,0.45290455,information_or_how_to,0.46966675,authentication_or_code,Human reviewed
271,@115858 ever sense I downloaded the latest update my phone has been sluggish! Wtf! I hate buying a phone only to have it unusable in a year.,device_performance,0.49128228,ios_update_issue,0.43215847,ios_update_issue,Human reviewed - corrected
225,@115858 IOS 11 is so buggy. PLZ fix ok bye....,ios_update_issue,0.6116838,system_ui_keyboard_or_notification_bug,0.319326,,
227,@115725 @AppleSupport WHY TF IS MY LTE ON MY IPHONE 7 PLUS NOT WORKING?!?,connectivity_issue,0.5039857,connectivity_issue,0.42756507,,
114,@AppleSupport @223551 This happening to me too! Did you manage to fix it?,icloud_photos_or_mail,0.45862734,information_or_how_to,0.4764766,,
216,@AppleSupport Is something happening with iOS? Out of nowhere my phone became unresponsive. I'm running 10.2.1 on 6S. My thousands of pictures all disappeared.,device_performance,0.60765946,app_crash_or_freeze,0.3279985,,
49,My Apple Watch still won't pair to my phone after the update 🙄 @AppleSupport @115858,connectivity_issue,0.4883206,hardware_repair_or_damage,0.44839108,,
118,@AppleSupport Iphone 6 s,information_or_how_to,0.47633165,information_or_how_to,0.46448132,,
59,@AppleSupport can someone contact me regarding my iphone X order? I have my email but I need some questions answered. I can't get through.,hardware_repair_or_damage,0.4695867,authentication_or_code,0.47259817,,
17,@AppleSupport How do you disable control center on lock screen. The option is missing in iPhone X,information_or_how_to,0.47193247,hardware_repair_or_damage,0.47099593,,
104,"@115858 @AppleSupport My MacBook Air charger just started smoking, melted through the cable and almost caught fire :| ????",hardware_repair_or_damage,0.49915472,battery_issue,0.44480503,,
231,Thought my phone who the only one bugging out with this “i “ issue smh. @115858 . You tryna get me buy that 1000 iPhone ain’t you 🤔,app_crash_or_freeze,0.51987404,hardware_repair_or_damage,0.4256174,,
233,"@AppleSupport Please, how do I disable this search suggestion feature?",information_or_how_to,0.48500958,messaging_or_communication,0.46193865,,
130,@AppleSupport iPhone 📱 7 Plus,information_or_how_to,0.47781172,information_or_how_to,0.47639245,,
50,@AppleSupport @124889 Same problem for me,icloud_photos_or_mail,0.50196415,information_or_how_to,0.4533771,,
234,"@AppleSupport I used to be able to download individual pictures from using windows, but now it doesn't work",messaging_or_communication,0.467311,icloud_photos_or_mail,0.4896417,,
16,"Dear @115858 , I’m tired of not being to press send on my quick replies because the keyboard covers it! #IOS11 #PleaseFixIt",system_ui_keyboard_or_notification_bug,0.4787261,messaging_or_communication,0.49749976,,
55,@AppleSupport iPhone 5s,information_or_how_to,0.4757444,information_or_how_to,0.5023402,,
197,@AppleSupport I NEED HELP!!! ITS ABOUT THE ITUNES ON MY PHONE,information_or_how_to,0.4573119,information_or_how_to,0.52085435,,
80,"FYI when you turn stuff off in the control centre in iOS11 it doesn’t actually turn them off completely, why must you suck @115858",information_or_how_to,0.50395477,information_or_how_to,0.47723642,,
19,@AppleSupport my iTunes Player on my phone won’t get off shuffle,media_playback_issue,0.49937388,media_playback_issue,0.48308396,,
79,"Dear @115858, My husband and I just bought your new iPhone 8plus (not the new NEW iPhone X) 5 days ago, and our phones freeze while typing ~twice a day already. If I pay a shit ton of money for this why can't it work for at least the first year? Get your shit together please, tnx",device_performance,0.5013606,hardware_repair_or_damage,0.48958722,,
4,"iOS 11.1 is causing problems on my iphone 5s , battery draining, notification center freezing, widget lags @AppleSupport @115858",ios_update_issue,0.55803746,device_performance,0.43778625,,
277,@AppleSupport hi I forgot my security questions. When I try to reset it. It says we well send it to your other devices. I don't have these devices anymore. Can you send it to my email or something?,authentication_or_code,0.45998523,messaging_or_communication,0.53716266,,
164,Why does my phone die at 50% @AppleSupport,app_crash_or_freeze,0.51703966,hardware_repair_or_damage,0.481238,,
294,@AppleSupport Please provide feature to DISABLE Memories/People. I DO NOT want you scanning my photos! Give us the option!,information_or_how_to,0.45329267,icloud_photos_or_mail,0.54821664,,
169,@AppleSupport Why can't I place or receive calls? @ATT said it's an Apple issue. Please advise?,authentication_or_code,0.47536713,authentication_or_code,0.5264688,,
116,@AppleSupport unable to do anything on my phone... apps wont work with or without wifi cant update ios cant make calls,connectivity_issue,0.5595345,connectivity_issue,0.44500983,,
149,"@AppleSupport why my app store isnt working bih these devices are expensive as hell, do what u gotta do",app_crash_or_freeze,0.50187784,app_crash_or_freeze,0.50413036,,
167,@AppleSupport All those settings are on. It used to work perfectly on macOS Sierra but I can’t get it to work at all since High Sierra and WatchOS 4,information_or_how_to,0.46890825,information_or_how_to,0.53791946,,
7,@115858 take my phone off the glitching list... I’m not dropping a stack rn on the new iPhone. #brokecollegestudent #leavemyphonealone,hardware_repair_or_damage,0.45762458,system_ui_keyboard_or_notification_bug,0.55822533,,
275,On my iPad. What gives @AppleSupport ?,information_or_how_to,0.4890818,information_or_how_to,0.5431919,,
177,"@AppleSupport having trouble out of no where on older Apple TV, from both MacBook and iPhone. Will play for 2 seconds then freeze, Help!",media_playback_issue,0.47719952,media_playback_issue,0.56123257,,
218,@AppleSupport why does my phone do this?!?😤😤😤,information_or_how_to,0.5025623,information_or_how_to,0.53633416,,
108,"@AppleSupport I’m tired of this iOS and the bugs. My phone is still slow, the autocorrect is still very weird and now when I get notifications it gets stuck!!!",ios_update_issue,0.5177944,system_ui_keyboard_or_notification_bug,0.5239581,,
179,@AppleSupport is there a way to turn off the little preview you get when you screenshot on 11.0.3 ????,information_or_how_to,0.4703658,hardware_repair_or_damage,0.57486975,,
65,@AppleSupport after I hit the checkout button I got this Cit One message about not knowing if I'm approved. Is my phone preordered or not?,authentication_or_code,0.49895954,authentication_or_code,0.5496205,,
54,Totally forgot I clicked schedule instead of decline on the iOS 11.1.1 update when drunk. My battery is now seriously draining 😩 thanks @115858,battery_issue,0.50358427,battery_issue,0.57616657,,
13,Hey @AppleSupport. You think that bug where your phone will open up while you’re trying to type a message in Notification Center will fixed? That’s getting really old.,system_ui_keyboard_or_notification_bug,0.5064311,system_ui_keyboard_or_notification_bug,0.5784484,,
281,@AppleSupport This is a short term fixed. I did the text replacement and an hour later it is back to not working. This is ridiculous,messaging_or_communication,0.48139983,messaging_or_communication,0.6061072,,
24,"@AppleSupport after updating to iOS 11.0.2 can’t send sms through contact in dial list , favourite and contact list... very frustrating!",messaging_or_communication,0.47064006,messaging_or_communication,0.6239575,,
242,"@AppleSupport No, it goes away after I restart the application. But, why is this still happening (repeatedly)? I never faced this issue with previous versions of iOS. 😕",system_ui_keyboard_or_notification_bug,0.5832791,app_crash_or_freeze,0.5163348,,
241,Now there’s a problem when I text it. It pops up as I.T @115858 How did yall mess up phones this bad 🤦🏽‍♀️,messaging_or_communication,0.5457318,messaging_or_communication,0.5588448,,
154,Hello @AppleSupport! I have iPhone 7 ! I want to activate but I can’t ( ur activation session expired) what I have to do?,authentication_or_code,0.59045124,authentication_or_code,0.514406,,
71,"@AppleSupport No, Phone unlock screen off and then after a while, the wireless connection is cut off when.",connectivity_issue,0.47355664,connectivity_issue,0.65454704,,
292,@AppleSupport fix this glitchy ass update. When you type I it doesn’t come up (!) with a ? Wth,system_ui_keyboard_or_notification_bug,0.45838448,system_ui_keyboard_or_notification_bug,0.67338395,,
263,@AppleSupport can I access anything I put in my Files from any device through iCloud? #iOS11,icloud_photos_or_mail,0.46713796,icloud_photos_or_mail,0.67513293,,
155,@AppleSupport why is IOS 11.1 doing this now ?,information_or_how_to,0.49734566,ios_update_issue,0.64535254,,
73,@AppleSupport ??? tried 6 times and got the same message everytime,icloud_photos_or_mail,0.46120256,messaging_or_communication,0.68337125,,
119,I love how @AppleSupport called to try and help fix my iPhone bc iOS11 is AWFUL and when asked to do Recovery mode they never called me back,hardware_repair_or_damage,0.506431,hardware_repair_or_damage,0.6438574,,
144,@AppleSupport Fixed thanks. Needed to re-pair with new phone but it didn’t tell me this at the time.,connectivity_issue,0.45115876,hardware_repair_or_damage,0.70275325,,
70,"@AppleSupport my iphone has crashed, I'm unable to reset it",hardware_repair_or_damage,0.5815383,app_crash_or_freeze,0.5761183,,
27,How do I turn off the Do Not Distrube When Driving feature on the new iOS update? 😱 @AppleSupport #applehelp,information_or_how_to,0.51710033,ios_update_issue,0.64478,,
100,"Love having to hard reboot my iPhone because of a frickin' bug with Control Center that renders the whole UI unresponsive. Good QA, @115858.",device_performance,0.6250145,ios_update_issue,0.54422355,,
240,@AppleSupport I sent a DM but haven't heard back would like my issue resolved ASAP,icloud_photos_or_mail,0.47196993,messaging_or_communication,0.7055228,,
93,@AppleSupport hello Apple! Very happy with my iPhone X. What I really don’t understand is why you didn’t include in the box a fast charger. Very very poor image the slow charger that we use the last X years! Can I change it to a fast one please?,device_performance,0.4871752,battery_issue,0.6909019,,
109,@AppleSupport What is your replacement policy in case the Mac doesn't work even after repairs?,hardware_repair_or_damage,0.45525864,hardware_repair_or_damage,0.72327495,,
201,"@AppleSupport, please provide details about my iPhone 6 issues and how Apple going to help me. Ref.No. 100320642455.",ios_update_issue,0.5788839,hardware_repair_or_damage,0.6080305,,
211,@AppleSupport @272710 Your iPhone headphone adapter is crap it’s just all of a sudden stopped working,media_playback_issue,0.48888075,connectivity_issue,0.70266366,,
297,@115858 ever since the iOS 11 my phone has been freezing and some of the apps stay frozen. Please fix this #iPhone7Plus,device_performance,0.607933,app_crash_or_freeze,0.58668405,,
22,"@AppleSupport this prolem i m facing after 2 days of purchasing my iphone x. Sometimes network is gone and this appears on my phone, and everytime i have to restart to get rid of it.",connectivity_issue,0.565607,hardware_repair_or_damage,0.6438592,,
140,Problem upgrading the Desktop @115858 Computer for #iPhoneX @AppleSupport it #seeds data for developers tho does not upgrade anything‼️..🍏🖥,ios_update_issue,0.54852754,hardware_repair_or_damage,0.6617134,,
282,@115858 trying to get the iphone x has been the worst customer experience i have ever been a part of. fail on multiple levels.,ios_update_issue,0.5106941,hardware_repair_or_damage,0.7031867,,
126,Why is this happening to me SEND HELP @115858,messaging_or_communication,0.4692524,messaging_or_communication,0.7448497,,
18,My alarm went off silently..... who does that help?! @AppleSupport ??? This phone has been trippin since the stupid update!! 😡😡,system_ui_keyboard_or_notification_bug,0.54408604,system_ui_keyboard_or_notification_bug,0.67013675,,
133,"@115858 must fix face id, iphone x doesnt unlock if am wearing sunnies....",authentication_or_code,0.47419983,authentication_or_code,0.7439727,,
220,"Yo @115858. Since yesterday update, Safari ALWAYS crashes.. Please advise.",app_crash_or_freeze,0.4996946,app_crash_or_freeze,0.7371179,,
81,".@AskTarget sold me a new iPhone locked to @TMobileHelp when I have @115990 and they tell me to go to @AppleSupport but basically no one, including Apple, will help get the phone unlocked. So frustrating.",authentication_or_code,0.4773454,hardware_repair_or_damage,0.7617766,,
166,"@115858 Your last update SUCKS, pls fix it. When I type my code (after sleep), IF I typed it wrong, all the other attempts fail. Music player",media_playback_issue,0.5634073,ios_update_issue,0.67942643,,
226,Update: now I shut my phone off and every single one of my messages got deleted 🙃 @115858 get it together,messaging_or_communication,0.5172778,messaging_or_communication,0.7304394,,
139,"@115948 @116333 @77052 @77053 @77054 Dear @116333, a big ""thank you"" for IOS11, now my iPhone has turned into a piece of iron.",hardware_repair_or_damage,0.48284218,hardware_repair_or_damage,0.77406615,,
285,"@AppleSupport @AppleSupport i want my iPhone to be completely bloked, so that it cannot be used by the person who stole it.",hardware_repair_or_damage,0.4906603,hardware_repair_or_damage,0.7682774,,
112,"@AppleSupport I CAN’T USE THE CAMERA. NO SNAPCHAT, NO INSTAGRAM, NO CAMERA IN GENERAL. HEEEELP 😭",messaging_or_communication,0.46474677,app_crash_or_freeze,0.7993197,,
267,@AppleSupport where are you supposed to cancel your apple developer membership? Autorenew is enabled and I don't want it anymore.,information_or_how_to,0.46306688,authentication_or_code,0.8052867,,
188,"@AppleSupport Yes, I’ve still got it. I used iCloud as it wouldn’t let me use iTunes. I could maybe go back into it tomorrow and try again.",authentication_or_code,0.4849245,icloud_photos_or_mail,0.78799456,,
157,"@AppleSupport please fix this bug where I can’t see the letter ‘I’ in Facebook, tweets, or snapchats",system_ui_keyboard_or_notification_bug,0.45044085,system_ui_keyboard_or_notification_bug,0.8298466,,
43,@AppleSupport how can i take the iOS 11.1 OFF of my phone ? Every time I️ type something it pops up as A? & it’s annoying I️ want it off,information_or_how_to,0.48950234,system_ui_keyboard_or_notification_bug,0.7967713,,
53,"@AppleSupport Hi, I’m facing an issue / bug on my iPad Pro 10.5 since I updated to iOS 11 om Mail App! This issue is only on iPad and I’m not facing it on iPhone! If I marked more than 10 emails and hit delete. The app just freezes and do nothing & less than that its possible!?",icloud_photos_or_mail,0.4883391,app_crash_or_freeze,0.80026627,,
105,@AppleSupport why is my phone doing this ??? Can’t send any “I️’s”,messaging_or_communication,0.51396036,messaging_or_communication,0.7826524,,
264,@AppleSupport no changes from ios 10. ios 11 is broken and it's annoying. is this the start of apple trying to stop any third party accessories too?,ios_update_issue,0.5120524,ios_update_issue,0.7859912,,
276,Bought my Mac like a month ago and the battey has already fucked up and it won’t turn on. I can’t 😂 @AppleSupport sort your stuff out,hardware_repair_or_damage,0.53583086,hardware_repair_or_damage,0.76251537,,
262,@AppleSupport my i6 goes blck with loading screen! Its done that for 6 times in last 15mins very annoying! Help!,device_performance,0.4586772,hardware_repair_or_damage,0.8400017,,
127,"@AppleSupport I have removed all Google products, which are required by my job, run minimal apps, reset the PRAM, SMC, dyld caches, reinstalled High Sierra. Everything, yet I continual get lags and crashes. I share everything with Apple so you should be receiving the reports",app_crash_or_freeze,0.4812793,app_crash_or_freeze,0.81763697,,
143,To: @115858 @AppleSupport : The iPhone 6+ needs a fix & repair on the battery—🔋life—on #iOS11 please. 🍎🔋,hardware_repair_or_damage,0.4855119,battery_issue,0.81373936,,
115,"@AppleSupport After upgrading to latest iOS , workaround is I need to go to mailbox and trash it from there.",icloud_photos_or_mail,0.5071595,icloud_photos_or_mail,0.8020473,,
192,"@AppleSupport hi, I lost my iPhone about two weeks ago, I still enable find my iPhone for it, and today my iCloud account was locked. I have unlocked it, but could you check whether someone has tried to log into my iCloud account or why it was locked? Thanks",authentication_or_code,0.4746301,authentication_or_code,0.83554286,,
124,@AppleSupport Thought you might ask and yes I have. Just can’t connect. I’m not the only person having these problems. Is their maybe an outage?,authentication_or_code,0.47241116,connectivity_issue,0.84286696,,
31,There are many bugs in #ios11 .. @118936 @AppleSupport wake up guys .. quality was a synonym for @115858,ios_update_issue,0.4802657,ios_update_issue,0.83655393,,
11,"@AppleSupport so i just turned on my phone to see that randomly, 800 videos and pictures were deleted without my knowledge. that’s fantastic. anyway i can get them back without using a backup?",icloud_photos_or_mail,0.5160993,icloud_photos_or_mail,0.80142474,,
236,@AppleSupport It doesn't even want to update- i have over 5 GB free storage 😕😕😕😕😕 pls help,ios_update_issue,0.5050658,ios_update_issue,0.8142439,,
147,Updated iphone 7+ and now it wont go to speaker phone during calls nor will shortcuts control my music player. @115858 @AppleSupport,media_playback_issue,0.53802896,media_playback_issue,0.78621054,,
202,"@AppleSupport, All incoming calls to my iPhone are automatically rejected when connected to my car’s head unit via Bluetooth; Do not disturb while driving are set manually and are not activated. Can you help me figure out what’s wrong and how to fix it. Screenshots below. Thanks.",connectivity_issue,0.45177698,connectivity_issue,0.87332326,,
135,@AppleSupport Hey Apple. Where are our phones doing this when we type “I️”,information_or_how_to,0.47502634,system_ui_keyboard_or_notification_bug,0.8506663,,
136,New phone and it wont let me screenshot... thanks apple @115858,messaging_or_communication,0.45319352,hardware_repair_or_damage,0.87614185,,
48,"Getting frustrated with @115858 my phone screen just decided to stop working. Did a reset and now only 300 of my 6,000 photos are showing up....but why?",icloud_photos_or_mail,0.48256743,icloud_photos_or_mail,0.85424113,,
235,"@AppleSupport @115858 I love Apple but, they did wrong. Daughter iPhone X just quit working, Apple Care told us 2 go 2 our carrier. X’s sold out & the mgr won’t replace phone w/X only 8+ & I️ pay more 4 it. WTH? B4 launch should’ve made more 2 replace faulty 1’s bc if U R SOL 🤬",hardware_repair_or_damage,0.48617262,hardware_repair_or_damage,0.8564915,,
28,"So, does @115858 specifically design their new iOS to drain the crap out of our phones? Utterly ridiculous. I am convinced that each new version of iOS is introduced to convince us that our phone is obsolete and that we need to buy their newest phone",information_or_how_to,0.49978456,ios_update_issue,0.84421164,,
101,"Dear @AppleSupport, in occasion, mail locks up. Cursor will not move past a word. Can delete word, retype. Nothing else.",icloud_photos_or_mail,0.49580428,icloud_photos_or_mail,0.84864515,,
269,@AppleSupport It has never worked in any app for a few years now. I've tested on iPhone 6 and iPhone X. Can you make it work on your iPhone?,information_or_how_to,0.45941356,app_crash_or_freeze,0.886561,,
63,"@AppleSupport Left iOS beta program, deleted profile from phone. Still getting beta updates and not 11.0.2 Help please?",ios_update_issue,0.5074114,ios_update_issue,0.83970624,,
295,@AppleSupport IOS 11.0.2 the lastest version available!,ios_update_issue,0.47609517,ios_update_issue,0.8741127,,
175,@AppleSupport What is required to have Apple do a diagnostic on my iPhone 6 battery,battery_issue,0.47365788,battery_issue,0.87723017,,
67,@115858 your #iOS 11.1.2 update broke my phone. It will not see my AT&T network anymore. Please fix it ASAP! #AppleFail,ios_update_issue,0.45813543,ios_update_issue,0.8973979,,
187,@AppleSupport : Did mark up on a photo. Couldn’t fill colour in text box I added. Texts are not visible on mail. Can this be done?,messaging_or_communication,0.5086798,icloud_photos_or_mail,0.8494182,,
35,@AppleSupport WHY WITH THE LETTER I️ ?!?,system_ui_keyboard_or_notification_bug,0.4581305,system_ui_keyboard_or_notification_bug,0.9043249,,
40,Hey @115858 I wonder 🤔 why my #iPhone7Plus after 2 iOS updates is still running slow and freezing. My phone actually froze and reset its self while writing this tweet. Smh y’all gotta do better it’s imperative.,device_performance,0.5258127,device_performance,0.83683723,,
134,@AppleSupport That didn’t help. The device I’m not discovering is a Taylor Bluetooth scale. Are you aware of compatibility issues?,connectivity_issue,0.45373,connectivity_issue,0.90964097,,
162,@AppleSupport It’s not connecting keep telling me we are sorry. My issue is dat I can’t register my iTunes app downloaded. Pls tell me wat to do.,authentication_or_code,0.5498133,authentication_or_code,0.81403893,,
83,@AppleSupport @115858 @116333 the iOS 11.1.1 can’t be installed by anyway you mentioned in including iTunes,ios_update_issue,0.533652,ios_update_issue,0.83065706,,
145,Is anyone else’s iPhone switching up the letter “i” to I️ @AppleSupport,system_ui_keyboard_or_notification_bug,0.47459275,system_ui_keyboard_or_notification_bug,0.8906139,,
82,@AppleSupport You helped me with a password issue but wiped out my entire keychain-after telling me that wouldn't happen. Any way to recover it?,authentication_or_code,0.509626,authentication_or_code,0.8562431,,
217,@AppleSupport native email app has crashed twice so far this morning...that doesn’t usually happen!! It ‘feels’ like my iPad has a bug?!,app_crash_or_freeze,0.5446336,app_crash_or_freeze,0.8219117,,
5,@AppleSupport Not able to back up on iCloud. Please arrange a call back.,icloud_photos_or_mail,0.5089171,icloud_photos_or_mail,0.8580468,,
84,@115858 @AppleSupport after installation of 11.0.3 problems of Bluetooth & SMS re-delivery,connectivity_issue,0.4564759,connectivity_issue,0.9130875,,
200,@AppleSupport @115858 @115858 post-update why changing the letter I️ to this weird A And question box?? A b c d e f g h I️ j,system_ui_keyboard_or_notification_bug,0.46959326,system_ui_keyboard_or_notification_bug,0.9011896,,
248,I’m confused. Is there a reason why the letter “ I ” keeps getting omitted and has an ! and ? box instead 🤔 @115858 @AppleSupport #iPhoneX #AppleSupport,system_ui_keyboard_or_notification_bug,0.47117472,system_ui_keyboard_or_notification_bug,0.9040936,,
287,@115858 y’all need to fix the phones below the new ones. My fuckin music app won’t even open nor my messages or contacts.,media_playback_issue,0.4715435,media_playback_issue,0.90566736,,
45,@AppleSupport Facing Battery draining and phone heating issues after updating my iphone 8 plus to IOS 11.1,battery_issue,0.4683344,battery_issue,0.9102606,,
